id,parent_id,name,areas
6251,40,Абай,Восточно-Казахстанская область
2728,40,Акколь,Акмолинская область
150,40,Аксай (Казахстан),Западно-Казахстанская область
6254,40,Аксукент,Туркестанская область
151,40,Аксу (Павлодар.обл),Павлодарская область
152,40,Актау,Мангыстауская область
154,40,Актобе,Актюбинская область
6365,40,Актогай,Восточно-Казахстанская область
156,40,Алга (Актюбинская обл),Актюбинская область
160,40,Алматы,Алматы
169,40,Алтай (Зыряновск),Восточно-Казахстанская область
158,40,Аральск,Кызылординская область
161,40,Аркалык,Костанайская область
6300,40,Арысь (Туркестанская область),Туркестанская область
155,40,Арысь (ЮКО),Туркестанская область
6493,40,Аса,Жамбылская область
6511,40,Асыката,Туркестанская область
6510,40,Атакент,Туркестанская область
6351,40,Атасу,Карагандинская область
3663,40,Атбасар,Акмолинская область
153,40,Атырау,Атырауская область
5053,40,Аулиеколь,Костанайская область
157,40,Аягоз (ВКО),Восточно-Казахстанская область
2226,40,Байконур (Кызылорд. обл),Кызылординская область
6497,40,Балпык-Би,Алматинская область
164,40,Балхаш,Карагандинская область
5118,40,Батпак,Восточно-Казахстанская область
162,40,Баутино,Мангыстауская область
6488,40,Бауыржан Момышулы,Жамбылская область
163,40,Бейнеу (Мангистауская обл),Мангыстауская область
5055,40,Бесколь,Алматинская область
5129,40,Бурабай,Акмолинская область
6431,40,Глубокое (Восточно-Казахстанская область),Восточно-Казахстанская область
6483,40,Дарьинское,Западно-Казахстанская область
165,40,Ерейментау (Акмол.обл),Акмолинская область
6287,40,Есик,Алматинская область
6292,40,Есиль,Акмолинская область
6343,40,Жайрем,Карагандинская область
5124,40,Жаксы,Акмолинская область
6347,40,Жалагаш,Кызылординская область
2510,40,Жанаозен,Мангыстауская область
6446,40,Жанаркорган,Туркестанская область
167,40,Жанатас,Туркестанская область
6482,40,Жангала,Западно-Казахстанская область
6481,40,Жанибек,Западно-Казахстанская область
6496,40,Жансугуров,Алматинская область
6104,40,Жаркент,Алматинская область
166,40,Жезказган,Карагандинская область
2952,40,Жетысай,Туркестанская область
6322,40,Житикара,Костанайская область
6346,40,Жосалы (Кызылординская область),Кызылординская область
6479,40,Жымпиты,Западно-Казахстанская область
168,40,Зайсан,Восточно-Казахстанская область
170,40,Иссык,Алматинская область
6460,40,Кабанбай,Алматинская область
175,40,Казалы (Кызылорд. обл),Кызылординская область
6509,40,Казыгурт,Туркестанская область
3074,40,Кандыагаш,Актюбинская область
171,40,Капчагай,Алматинская область
5054,40,Карабалык,Костанайская область
6525,40,Жетыбай (Мангыстауская область),Мангыстауская область
6358,40,Карабулак (Алматинская область),Алматинская область
177,40,Караганда,Карагандинская область
6471,40,Каражал,Карагандинская область
178,40,Каратау,Жамбылская область
6478,40,Каратобе,Западно-Казахстанская область
6342,40,Каркаралинск,Карагандинская область
2653,40,Каскелен,Алматинская область
5052,40,Качар,Костанайская область
6495,40,Кеген,Алматинская область
173,40,Кентау (ЮКО),Туркестанская область
6513,40,Кокпекты,Восточно-Казахстанская область
176,40,Кокшетау,Акмолинская область
4491,40,Кордай,Жамбылская область
172,40,Костанай,Костанайская область
6393,40,Косшы,Акмолинская область
6487,40,Кулан,Жамбылская область
3034,40,Кульсары,Атырауская область
5051,40,Курчатов (Казахстан),Восточно-Казахстанская область
174,40,Кызылорда,Кызылординская область
179,40,Ленгер (ЮКО),Туркестанская область
6297,40,Лисаковск,Костанайская область
6512,40,Маканчи,Восточно-Казахстанская область
2950,40,Макинск,Акмолинская область
6244,40,Мангистау,Мангыстауская область
6486,40,Мерке,Жамбылская область
6485,40,Мойынкум,Жамбылская область
6503,40,Мырзакент,Туркестанская область
6494,40,Нарынкол,Алматинская область
5056,40,Новоишимское,Северо-Казахстанская область
159,40,Нур-Султан,Нур-Султан
5117,40,Осакаровка,Карагандинская область
6299,40,Отеген-Батыр,Алматинская область
181,40,Павлодар,Павлодарская область
6477,40,Перемётное,Западно-Казахстанская область
180,40,Петропавловск,Северо-Казахстанская область
6395,40,Приозёрск (Карагандинская область),Карагандинская область
183,40,Риддер (ВКО),Восточно-Казахстанская область
182,40,Рудный,Костанайская область
6501,40,Рыскулово,Алматинская область
6502,40,Сайрам,Туркестанская область
6476,40,Сайхин,Западно-Казахстанская область
5126,40,Саксаульский,Кызылординская область
6017,40,Сарань,Карагандинская область
4304,40,Сарканд,Алматинская область
2951,40,Сарыагаш,Туркестанская область
6484,40,Сарыкемер,Жамбылская область
6459,40,Сарыозек,Алматинская область
184,40,Сатпаев,Карагандинская область
185,40,Семей,Восточно-Казахстанская область
6060,40,Сергеевка (Северо-Казахстанская область),Северо-Казахстанская область
2755,40,Серебрянск,Восточно-Казахстанская область
6480,40,Солнечное (Глубоковский район),Восточно-Казахстанская область
186,40,"Солнечный (ПГТ, Павлодарская обл)",Павлодарская область
6186,40,Софиевка (Казахстан),Акмолинская область
2437,40,Степногорск,Акмолинская область
5164,40,Степняк,Акмолинская область
6475,40,Тайпак,Западно-Казахстанская область
5042,40,Тайынша,Северо-Казахстанская область
3048,40,Талгар,Алматинская область
188,40,Талдыкорган,Алматинская область
6325,40,Талшик,Северо-Казахстанская область
187,40,Тараз,Жамбылская область
6474,40,Таскала,Западно-Казахстанская область
189,40,Текели,Алматинская область
190,40,Темиртау,Карагандинская область
191,40,Торгай,Костанайская область
6344,40,Торетам,Кызылординская область
6366,40,Торткудук,Павлодарская область
192,40,Туркестан,Туркестанская область
6248,40,Узынагаш,Алматинская область
193,40,Уральск,Западно-Казахстанская область
6453,40,Урджар,Восточно-Казахстанская область
194,40,Усть-Каменогорск,Восточно-Казахстанская область
6349,40,Ушарал,Алматинская область
6250,40,Уштобе,Карагандинская область
195,40,Хромтау,Актюбинская область
6473,40,Чапаево,Западно-Казахстанская область
3704,40,Чарск (Шар),Восточно-Казахстанская область
6472,40,Чингирлау,Западно-Казахстанская область
4637,40,Чунджа,Алматинская область
6348,40,Шалкар,Актюбинская область
6388,40,Шардара,Туркестанская область
6500,40,Шаульдер,Туркестанская область
6290,40,Шахтинск,Карагандинская область
6499,40,Шаян,Туркестанская область
6108,40,Шелек,Алматинская область
196,40,Шемонаиха (ВКО),Восточно-Казахстанская область
6524,40,Шетпе,Мангыстауская область
6324,40,Шиели,Кызылординская область
6498,40,Шолаккорган,Туркестанская область
2729,40,Шу,Жамбылская область
205,40,Шымкент,Шымкент
197,40,Щучинск,Акмолинская область
198,40,Экибастуз,Павлодарская область